;fl_date;mkt_unique_carrier;branded_code_share;mkt_carrier;mkt_carrier_fl_num;op_unique_carrier;tail_num;op_carrier_fl_num;origin_airport_id;origin;origin_city_name;dest_airport_id;dest;dest_city_name;crs_dep_time;dep_time;dep_delay;taxi_out;wheels_off;wheels_on;taxi_in;crs_arr_time;arr_time;arr_delay;cancelled;cancellation_code;diverted;dup;crs_elapsed_time;actual_elapsed_time;air_time;flights;distance;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay;first_dep_time;total_add_gtime;longest_add_gtime;no_name
489328;2019-03-11;AS;AS;AS;1480;AS;N524VA;1480;12892;LAX;Los Angeles, CA;12889;LAS;Las Vegas, NV;1730;1856.0;86.0;27.0;1923.0;2006.0;9.0;1845;2015.0;90.0;0;;0;N;75;79.0;43.0;1;236;86.0;0.0;4.0;0.0;0.0;;;;
458608;2019-02-12;AS;AS;AS;620;AS;N467AS;620;14057;PDX;Portland, OR;12889;LAS;Las Vegas, NV;1445;1603.0;78.0;9.0;1612.0;1758.0;18.0;1650;1816.0;86.0;0;;0;N;125;133.0;106.0;1;763;78.0;0.0;8.0;0.0;0.0;;;;
843246;2019-12-23;AS;AS;AS;1898;AS;N521VA;1898;14831;SJC;San Jose, CA;14679;SAN;San Diego, CA;930;931.0;1.0;25.0;956.0;1107.0;36.0;1059;1143.0;44.0;0;;0;N;89;132.0;71.0;1;417;0.0;0.0;44.0;0.0;0.0;;;;
655116;2019-07-23;AS;AS_CODESHARE;AS;2864;QX;N642QX;2864;14004;PAE;Everett, WA;12892;LAX;Los Angeles, CA;1125;1119.0;-6.0;10.0;1129.0;1402.0;12.0;1415;1414.0;-1.0;0;;0;N;170;175.0;153.0;1;984;;;;;;;;;
663076;2019-07-30;AS;AS_CODESHARE;AS;2405;QX;N642QX;2405;10620;BIL;Billings, MT;14057;PDX;Portland, OR;1540;1531.0;-9.0;11.0;1542.0;1628.0;3.0;1645;1631.0;-14.0;0;;0;N;125;120.0;106.0;1;679;;;;;;;;;
13179;2018-01-15;AS;AS;AS;15;AS;N275AK;15;10721;BOS;Boston, MA;14747;SEA;Seattle, WA;1857;2028.0;91.0;52.0;2120.0;2314.0;6.0;2245;2320.0;35.0;0;;0;N;408;352.0;294.0;1;2496;0.0;0.0;0.0;0.0;35.0;;;;
691543;2019-08-20;AS;AS;AS;337;AS;N558AS;337;14893;SMF;Sacramento, CA;14679;SAN;San Diego, CA;2050;2029.0;-21.0;16.0;2045.0;2154.0;6.0;2225;2200.0;-25.0;0;;0;N;95;91.0;69.0;1;480;;;;;;;;;
805511;2019-11-22;AS;AS_CODESHARE;AS;2302;QX;N622QX;2302;14747;SEA;Seattle, WA;10620;BIL;Billings, MT;2120;2207.0;47.0;25.0;2232.0;101.0;3.0;25;104.0;39.0;0;;0;N;125;117.0;89.0;1;664;39.0;0.0;0.0;0.0;0.0;;;;
569974;2019-05-17;AS;AS_CODESHARE;AS;3464;OO;N183SY;3464;10713;BOI;Boise, ID;14057;PDX;Portland, OR;615;605.0;-10.0;17.0;622.0;618.0;8.0;630;626.0;-4.0;0;;0;N;75;81.0;56.0;1;344;;;;;;;;;
763965;2019-10-18;AS;AS;AS;1328;AS;N363VA;1328;14747;SEA;Seattle, WA;14771;SFO;San Francisco, CA;2030;2057.0;27.0;19.0;2116.0;2250.0;2.0;2240;2252.0;12.0;0;;0;N;130;115.0;94.0;1;679;;;;;;;;;
371961;2018-11-28;AS;AS;AS;769;AS;N224AK;769;10721;BOS;Boston, MA;14679;SAN;San Diego, CA;1745;1739.0;-6.0;24.0;1803.0;2059.0;2.0;2120;2101.0;-19.0;0;;0;N;395;382.0;356.0;1;2588;;;;;;;;;
517116;2019-04-03;AS;AS_CODESHARE;AS;2241;QX;N440QX;2241;11884;GEG;Spokane, WA;14747;SEA;Seattle, WA;1525;1523.0;-2.0;16.0;1539.0;1629.0;2.0;1635;1631.0;-4.0;0;;0;N;70;68.0;50.0;1;224;;;;;;;;;
198697;2018-07-05;AS;AS_CODESHARE;AS;3345;OO;N189SY;3345;14893;SMF;Sacramento, CA;14679;SAN;San Diego, CA;1945;1938.0;-7.0;13.0;1951.0;2105.0;29.0;2118;2134.0;16.0;0;;0;N;93;116.0;74.0;1;480;0.0;0.0;16.0;0.0;0.0;;;;
229987;2018-07-30;AS;AS;AS;255;AS;N472AS;255;10721;BOS;Boston, MA;14747;SEA;Seattle, WA;900;854.0;-6.0;26.0;920.0;1137.0;10.0;1219;1147.0;-32.0;0;;0;N;379;353.0;317.0;1;2496;;;;;;;;;
281998;2018-09-10;AS;AS;AS;194;AS;N265AK;194;11630;FAI;Fairbanks, AK;10299;ANC;Anchorage, AK;1950;2209.0;139.0;8.0;2217.0;2257.0;4.0;2048;2301.0;133.0;0;;0;N;58;52.0;40.0;1;261;133.0;0.0;0.0;0.0;0.0;;;;
189190;2018-06-27;AS;AS;AS;1359;AS;N851VA;1359;10721;BOS;Boston, MA;14771;SFO;San Francisco, CA;1915;1920.0;5.0;31.0;1951.0;2250.0;24.0;2259;2314.0;15.0;0;;0;N;404;414.0;359.0;1;2704;0.0;0.0;15.0;0.0;0.0;;;;
380614;2018-12-06;AS;AS;AS;88;AS;N492AS;88;10299;ANC;Anchorage, AK;14747;SEA;Seattle, WA;630;621.0;-9.0;16.0;637.0;1050.0;9.0;1103;1059.0;-4.0;0;;0;N;213;218.0;193.0;1;1448;;;;;;;;;
25185;2018-01-28;AS;AS;AS;769;AS;N495AS;769;10721;BOS;Boston, MA;14679;SAN;San Diego, CA;1755;1738.0;-17.0;17.0;1755.0;2052.0;3.0;2147;2055.0;-52.0;0;;0;N;412;377.0;357.0;1;2588;;;;;;;;;
