;fl_date;mkt_unique_carrier;branded_code_share;mkt_carrier;mkt_carrier_fl_num;op_unique_carrier;tail_num;op_carrier_fl_num;origin_airport_id;origin;origin_city_name;dest_airport_id;dest;dest_city_name;crs_dep_time;dep_time;dep_delay;taxi_out;wheels_off;wheels_on;taxi_in;crs_arr_time;arr_time;arr_delay;cancelled;cancellation_code;diverted;dup;crs_elapsed_time;actual_elapsed_time;air_time;flights;distance;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay;first_dep_time;total_add_gtime;longest_add_gtime;no_name
491887;2018-05-27;HA;HA;HA;181;HA;N490HA;181;12402;ITO;Hilo, HI;12173;HNL;Honolulu, HI;1225;1218.0;-7.0;10.0;1228.0;1313.0;7.0;1318;1320.0;2.0;0;;0;N;53;62.0;45.0;1;216;;;;;;;;;
206613;2019-09-02;F9;F9;F9;622;F9;N358FR;622;11292;DEN;Denver, CO;11433;DTW;Detroit, MI;1458;1821.0;203.0;18.0;1839.0;2259.0;9.0;1953;2308.0;195.0;0;;0;N;175;167.0;140.0;1;1123;104.0;0.0;0.0;0.0;91.0;;;;
392187;2019-05-26;G4;G4;G4;1406;G4;327NV;1406;14685;SAV;Savannah, GA;14122;PIT;Pittsburgh, PA;2041;2034.0;-7.0;9.0;2043.0;2204.0;8.0;2222;2212.0;-10.0;0;;0;N;101;98.0;81.0;1;579;;;;;;;;;
260466;2018-01-22;G4;G4;G4;595;G4;865GA;595;10666;BLI;Bellingham, WA;12889;LAS;Las Vegas, NV;1203;1203.0;0.0;9.0;1212.0;1413.0;5.0;1434;1418.0;-16.0;0;;0;N;151;135.0;121.0;1;954;;;;;;;;;
227158;2019-10-22;F9;F9;F9;2018;F9;N722FR;2018;12889;LAS;Las Vegas, NV;11109;COS;Colorado Springs, CO;616;659.0;43.0;25.0;724.0;943.0;7.0;914;950.0;36.0;0;;0;N;118;111.0;79.0;1;604;36.0;0.0;0.0;0.0;0.0;;;;
598898;2019-07-19;HA;HA;HA;542;HA;N481HA;542;12173;HNL;Honolulu, HI;12402;ITO;Hilo, HI;1900;1902.0;2.0;12.0;1914.0;1949.0;5.0;1956;1954.0;-2.0;0;;0;N;56;52.0;35.0;1;216;;;;;;;;;
129781;2019-02-01;F9;F9;F9;1031;F9;N705FR;1031;13204;MCO;Orlando, FL;10693;BNA;Nashville, TN;1618;1614.0;-4.0;31.0;1645.0;1720.0;11.0;1728;1731.0;3.0;0;;0;N;130;137.0;95.0;1;616;;;;;;;;;
442831;2019-11-15;G4;G4;G4;1520;G4;240NV;1520;14082;PGD;Punta Gorda, FL;13198;MCI;Kansas City, MO;600;552.0;-8.0;12.0;604.0;733.0;11.0;757;744.0;-13.0;0;;0;N;177;172.0;149.0;1;1125;;;;;;;;;
438818;2019-10-29;G4;G4;G4;1200;G4;255NV;1200;10821;BWI;Baltimore, MD;10431;AVL;Asheville, NC;1541;1530.0;-11.0;11.0;1541.0;1644.0;4.0;1706;1648.0;-18.0;0;;0;N;85;78.0;63.0;1;414;;;;;;;;;
450996;2019-12-14;G4;G4;G4;1851;G4;244NV;1851;14112;PIE;St. Petersburg, FL;12339;IND;Indianapolis, IN;1706;1651.0;-15.0;11.0;1702.0;1858.0;5.0;1924;1903.0;-21.0;0;;0;N;138;132.0;116.0;1;840;;;;;;;;;
304883;2018-07-02;G4;G4;G4;648;G4;423NV;648;14761;SFB;Sanford, FL;13244;MEM;Memphis, TN;1235;1230.0;-5.0;10.0;1240.0;1314.0;31.0;1337;1345.0;8.0;0;;0;N;122;135.0;94.0;1;671;;;;;;;;;
35792;2018-04-26;F9;F9;F9;1888;F9;N305FR;1888;10423;AUS;Austin, TX;15304;TPA;Tampa, FL;530;525.0;-5.0;14.0;539.0;830.0;10.0;843;840.0;-3.0;0;;0;N;133;135.0;111.0;1;928;;;;;;;;;
454911;2019-12-26;G4;G4;G4;818;G4;224NV;818;12265;IAG;Niagara Falls, NY;14112;PIE;St. Petersburg, FL;1026;1026.0;0.0;20.0;1046.0;1324.0;6.0;1316;1330.0;14.0;0;;0;N;170;184.0;158.0;1;1069;;;;;;;;;
